Ability_Accursed1_description_simple:talent15_1					Target a unit to deal ^o{150,200,250,300} Magic Damage^* if it's an enemy or heal for ^o{150,200,250,300} Health^* if it's an ally.\n\nDeals ^o{50,75,100,125} Magic Damage^* to self.
Ability_Accursed1_description_simple:talent25_1					Target a unit to attack the target and deal ^o{100,150,200,250} Magic Damage^* if it's an enemy or heal for ^o{100,150,200,250} Health^* if it's an ally.\n\nDeals ^o{50,75,100,125} Magic Damage^* to self.
Ability_Accursed1_description_simple:talent15_1_p_25_1			Target a unit to attack the target and deal ^o{150,200,250,300} Magic Damage^* if it's an enemy or heal for ^o{150,200,250,300} Health^* if it's an ally.\n\nDeals ^o{50,75,100,125} Magic Damage^* to self.
Ability_Accursed1_IMPACT_effect:talent15_1						Deals ^o{150,200,250,300} Magic Damage^* to enemy units or heals allied units for ^o{150,200,250,300} Health^*. Deals ^o{50,75,100,125} Magic Damage^* to self.
Ability_Accursed1_IMPACT_effect:talent25_1						Deals ^o{100,150,200,250} Magic Damage^* to enemy units and attacks them or heals allied units for ^o{100,150,200,250} Health^*. Deals ^o{50,75,100,125} Magic Damage^* to self.
Ability_Accursed1_IMPACT_effect:talent15_1_p_25_1				Deals ^o{150,200,250,300} Magic Damage^* to enemy units and attacks them or heals allied units for ^o{150,200,250,300} Health^*. Deals ^o{50,75,100,125} Magic Damage^* to self.

Ability_Accursed2_description_simple:talent20_2					Target an Ally (or self) to remove Debuffs and Stuns, and apply a shield for 15 seconds that absorbs up to ^o{110,140,170,200} damage^* and increases Attack Speed by 70 and Movement Speed by 20 while it lasts.\n\nIf the shield hits its limit, it explodes and deals ^o{110,140,170,200} Magic Damage^* to nearby enemies.\n\n^pShard of the Master^* increases stun and debuff resistance by 30%.
Ability_Accursed2_description_simple:shardofthemaster_boost_p_20_2		Target an Ally (or self) to remove Debuffs and Stuns, and apply a shield for 15 seconds that absorbs up to ^o{110,140,170,200} damage^*, increases Attack Speed by 70, Movement Speed by 20 ^pand reduces duration of incoming stuns and debuffs by 30%^*.\n\nIf the shield hits its limit, it explodes and deals ^o{110,140,170,200} Magic Damage^* to nearby enemies.
Ability_Accursed2_description_simple:talent25_2					Target an Ally (or self) to remove Debuffs and Stuns, and apply a shield for 15 seconds that absorbs up to ^o{210,240,270,300} damage^*.\n\nIf the shield hits its limit, it explodes and deals ^o{210,240,270,300} Magic Damage^* to nearby enemies.\n\n^pShard of the Master^* increases stun and debuff resistance by 30%.
Ability_Accursed2_description_simple:shardofthemaster_boost_p_25_2		Target an Ally (or self) to remove Debuffs and Stuns, and apply a shield for 15 seconds that absorbs up to ^o{210,240,270,300} damage^* ^pand reduces duration of incoming stuns and debuffs by 30%^*.\n\nIf the shield hits its limit, it explodes and deals ^o{210,240,270,300} Magic Damage^* to nearby enemies.
Ability_Accursed2_description_simple:talent20_2_p_25_2					Target an Ally (or self) to remove Debuffs and Stuns, and apply a shield for 15 seconds that absorbs up to ^o{210,240,270,300} damage^* and increases Attack Speed by 70 and Movement Speed by 20 while it lasts.\n\nIf the shield hits its limit, it explodes and deals ^o{210,240,270,300} Magic Damage^* to nearby enemies.\n\n^pShard of the Master^* increases stun and debuff resistance by 30%.
Ability_Accursed2_description_simple:shardofthemaster_boost_p_20_2_p_25_2		Target an Ally (or self) to remove Debuffs and Stuns, and apply a shield for 15 seconds that absorbs up to ^o{210,240,270,300} damage^*, increases Attack Speed by 70, Movement Speed by 20 ^pand reduces duration of incoming stuns and debuffs by 30%^*.\n\nIf the shield hits its limit, it explodes and deals ^o{210,240,270,300} Magic Damage^* to nearby enemies.
State_Accursed_Ability2_FRAME_effect:talent25_2					{210,240,270,300} post-mitigation damage shield.\n\nOnce full amount is absorbed, damages enemies in 700 radius for {210,240,270,300} Magic Damage.
State_Accursed_Ability2_FRAME_effect:talent20_2_p_25_2			{210,240,270,300} post-mitigation damage shield.\n\nOnce full amount is absorbed, damages enemies in 700 radius for {210,240,270,300} Magic Damage.
State_Accursed_Ability2_FRAME_effect:shardofthemaster_boost_p_25_2		{210,240,270,300} post-mitigation damage shield.\n\nOnce full amount is absorbed, damages enemies in 700 radius for {210,240,270,300} Magic Damage.
State_Accursed_Ability2_FRAME_effect:shardofthemaster_boost_p_20_2_p_25_2		{210,240,270,300} post-mitigation damage shield.\n\nOnce full amount is absorbed, damages enemies in 700 radius for {210,240,270,300} Magic Damage.

